Name,Ingredients,Cuisine
Easy Sweet & Savory Korean BBQ Grilled Beef Short Ribs (Kal ,"beef short ribs,chili paste,garlic cloves,hot bean paste,red leaf lettuce,red pepper flakes,scallions,sesame oil,soy sauce,sugar,toasted sesame seeds,water,yellow onions",korean
Ssamjang for Samgyeopsal,"bean paste,garlic cloves,green peppers,korean red pepper paste,onions,red pepper flakes,salt and pepper,sesame oil,soy sauce,sugar,water",korean
Korean Fried Chicken (Yangnyeom Dak),"boneless skinless chicken,chili paste,cold water,cornstarch,eggs,fresh ground black pepper,fresh lemon juice,garlic cloves,ketchup,kosher salt,onions,sugar,toasted sesame seeds,vegetable oil,water",korean
Grandma's Rainy Day Kimchi Noodle Soup,"baby bok choy,cabbage kimchi,Chinese egg noodles,dark sesame oil,dashida,firm tofu,garlic cloves,ginger,pork tenderloin,rice wine vinegar,salt and pepper,scallions,shiitake mushrooms,soy sauce,sriracha sauce,vegetable oil,water",korean
Korean Bean Sprouts,"bean sprouts,cayenne pepper,garlic,green onions,salt,sesame oil,sesame seeds",korean
Kim Bap (Korean Rice Rolls),"carrots,cooked rice,dark sesame oil,eggs,fresh seaweed,frozen spinach,radishes,rice vinegar,sesame oil,sesame seeds,soy sauce",korean
Bibimbap,"apple juice,bean sprouts,carrots,chili paste,eggs,garlic cloves,ginger,lean ground beef,mushrooms,rice wine vinegar,sesame oil,short-grain rice,soy sauce,sugar,zucchini",korean
Kimchi Fried Rice,"eggs,gochujang ,green onions,juice,kim chee,nori,roasted sesame seeds,sesame oil,vegetable oil,water,white rice",korean
Korean Braised Short Ribs (Galbi Jim),"Asian pears,beef short ribs,carrots,garlic cloves,gochujang ,mirin,onions,potatoes,scallions,sesame oil,sesame seeds,sherry wine,soy sauce,sugar",korean
Korean Gaji Namul (Korean Eggplant Side Dish),"garlic cloves,green onions,hot pepper flakes,Japanese eggplants,roasted sesame seeds,sesame oil,soy sauce",korean
Spicy Korean Chicken,"baby carrots,black pepper,carrots,chicken wings,dry red pepper,green bell peppers,onions,red pepper paste,soy sauce,sugar,water",korean
Seafood & Green Onion Pancake (Haemul Pa-Jeon),"all-purpose flour,eggs,garlic cloves,glutinous-rice flour,green chili peppers,green onions,prawns,red chili peppers,rice wine vinegar,salt & freshly ground black pepper,sesame seed oil,soy sauce,sunflower oil,toasted sesame seeds",korean
Crispy Chili Rice Cakes (Ki-Rum Ddeokbokki),"black sesame seeds,chili paste,green onions,honey,maple syrup,red pepper powder,rice cakes,sesame seed oil,soy sauce,vegetable oil",korean
Black Sesame Seed Ice Cream (Hoogim-Ja Ice Cream),"agave syrup,black sesame seeds,coconut milk,cornstarch,palm sugar,sea salt,unrefined sugar",korean
Gluten-Free Korean Salmon and Scallion Pancake (Pajeon),"eggs,garlic cloves,gluten-free flour,pancakes,pepper,red chili paste,rice flour,rice vinegar,sake,salmon fillets,salt,scallions,sesame oil,tamari soy sauce,water,white sesame seeds,white wine",korean
Bangja Gui (Korean BBQ Beef in a Lettuce Wrap),"black pepper,chili powder,garlic cloves,lettuce leaves,rib eye steaks,salt,scallions,sesame oil,sirloin,soy sauce,sugar,toasted sesame seeds",korean
Diakon Radish & Carrot Salad,"carrots,daikon radishes,granulated sugar,salt,white vinegar",korean
Kimchi Salad Aka Quick Kimchi,"carrots,crushed red pepper flakes,distilled white vinegar,fresh ginger,garlic cloves,napa cabbage,salt,scallions,sugar,toasted sesame oil,water",korean
Green Onion Pancakes,"coconut milk,eggs,green onions,rice flour,salt,water",korean
Japchae Korean Noodle With Vegetable,"bean thread vermicelli,black pepper,carrots,corn syrup,garlic,green onions,mushrooms,olive oil,onions,sesame oil,sesame seeds,soy sauce,spinach,sugar",korean
Japchae (Korean Sweet Potato Noodles With Egg & Vegetables),"carrots,chinese chives,dried shiitake mushrooms,dried wood ear mushrooms,egg whites,garlic,grapeseed oil,honey,jumbo egg yolks,king oyster mushrooms,kosher salt,noodles,orange bell peppers,red bell peppers,roasted sesame seeds,scallions,soy sauce,toasted sesame oil,yellow bell peppers,yellow onions",korean
Bulgogi: Korean BBQ,"garlic,pepper,rib eye steaks,scallions,sesame oil,soy sauce,sugar",korean
Moo Saeng Chae (Marinated Radish Salad),"apples,green onions,lemons, juice of,red jalapeno chiles,rice vinegar,salad oil,salt,sesame oil,sesame seeds,soy sauce,sugar,white radishes",korean
Can't Be Korean Soon to Be Soup (A Play on Sundubu Soup),"Baby Spinach,black pepper,button mushrooms,eggs,garlic cloves,green onions,meatballs,pickles,red chili powder,salt,sesame oil,sesame seeds,shiitake mushrooms,silken tofu,sugar,water",korean
Spicy Korean Rice Cake With Cheese (Cheese Tteokbokki),"carrots,cheese,garlic,hard-boiled eggs,honey,Korean Rice Cakes,leeks,onions,red chili paste,red chili peppers,sesame seeds,sugar,tofu,tomato ketchup,water",korean
Spicy Korean Beef Noodles,"flank steaks,garlic,gochujang ,green onions,ground ginger,oil,ramen noodles,rice vinegar,sesame oil,sliced mushrooms,soy sauce,sugar,water,white onions",korean
Bulgogi - Korean Beef BBQ,"garlic,green onions,ground black pepper,honey,light brown sugar,pears,rice wine,sesame oil,sirloin,soy sauce,toasted sesame seeds",korean
Slow Cooker Korean BBQ,"brown sugar,chili pepper flakes,garlic cloves,pork,soy sauce,water",korean
Bangja Gui (Korean BBQ Beef in a Lettuce Wrap),"black pepper,chili powder,garlic cloves,lettuce leaves,rib eye steaks,salt,scallions,sesame oil,sirloin,soy sauce,sugar,toasted sesame seeds",korean
Korean BBQ Burrito,"brown sugar,cilantro,cooked rice,flour tortillas,fresh ginger,garlic cloves,mayonnaise,pears,sesame oil,soy sauce,top sirloin steaks,vegetables",korean
All-Vegetable Pad Thai,"bean sprouts,carrots,courgettes,garlic,honey,peanuts,tamarind paste,Thai fish sauce,Thai rice noodles,vegetable oil,zucchini",korean
Simple Bul Go Gi,"black pepper,flank steaks,garlic,green onions,peanut oil,sesame oil,soy sauce,toasted sesame seeds,white sugar",korean
Minty Lime Cooler (Or Mojito),"lime juice,lime slices,mint leaves,mint sprigs,rum,sparkling water,sugar",korean
Best Ever French Onion Soup,"bay leaves,beef broth,black pepper,brandy,butter,dried thyme,flour,French bread,garlic powder,gruyere cheese,olive oil,red wine,salt,Spanish onions",french
Traditional Coq Au Vin,"black pepper,brown sauce,celery seeds,chicken thighs,clarified butter,cognac,dried basil,dried chervil,dried rosemary,dry red wine,garlic cloves,garlic salt,ground thyme,herbes de provence,parsley,red wine,sea salt,shallots,unbleached all-purpose flour,white button mushrooms,white pearl onions",french
Julia Child's Cherry Clafoutis,"cherries,eggs,flour,milk,powdered sugar,salt,sugar,vanilla",french
Classic Entrecote Bordelaise - Steak in Red Wine With Shallots,"beef stock,black pepper,butter,demi-glace,parsley,red wine,salt,shallots,steaks",french
Mussels in White Wine and Garlic,"butter,dry white wine,garlic cloves,mixed fresh herbs,mussels,salt,shallots",french
Traditional Buttery French Croissants for Lazy Bistro Breakfasts,"butter,caster sugar,dried yeast,eggs,milk,salt,warm water,white bread flour",french
Buckwheat Crepes,"all-purpose flour,buckwheat flour,butter,corn oil,eggs,grapeseed oil,milk,water",french
Veal Blanquette (Veal in White Sauce),"bay leaves,butter,carrots,celery ribs,egg yolks,flour,garlic cloves,heavy cream,lemon juice,onions,salt and pepper,stewing veal,tarragon,thyme",french
Boeuf Bourguignon a La Julia Child,"bacon,bay leaves,beef stock,carrots,flour,garlic cloves,lean stewing beef,mushrooms,olive oil,onions,parsley,pepper,red wine,salt,salt & fresh ground pepper,thyme,tomato paste,unsalted butter,white pearl onions",french
Julia Child Supremes De Volaille Aux Champignons (Chicken Breast,"boneless skinless chicken breasts,brown stock,butter,dry white vermouth,fresh mushrooms,green onions,lemon juice,madeira wine,parsley,port wine,salt,salt and pepper,shallots,stock,whipping cream,white pepper",french
Croque Monsieur,"all-purpose flour,Dijon mustard,fresh ground black pepper,gruyere,ham,kosher salt,milk,nutmeg,parmesan cheese,unsalted butter,white bread",french
Traditional North African Couscous (The Real Way!),"carrots,celery,chickpeas,courgettes,couscous,dried mint,garlic cloves,ghee,green chili peppers,lamb chops,margarine,olive oil,onions,parsnips,plum tomatoes,potatoes,ras el hanout spice mix,salt & pepper,skinless chicken pieces,sunflower oil,swede,turnips,vegetable oil,water",french
Basic Dessert Crepes Batter,"butter,eggs,flour,milk,sugar,water",french
Cheat's French Cassoulet - Crock Pot or Le Creuset,"bacon,beans,bouquet garni,breadcrumbs,butter beans,cannellini,carrots,chicken stock,chopped tomatoes,garlic cloves,haricot beans,lardons,lean pork chops,navy beans,olive oil,onions,red wine,sausages,sugar",french
Authentic Original Traditional Swiss Fondue (Old World Recipe),"all-purpose flour,Appenzeller cheese,crusty bread,dry white wine,emmenthaler cheese,fresh ground pepper,fresh lemon juice,garlic cloves,gruyere,kirsch,nutmeg",french
Basque Piperade,"bacon,bay leaves,cayenne pepper,eggs,fresh thyme sprigs,garlic cloves,green peppers,ham,olive oil,onions,red ripe tomatoes,salt & freshly ground black pepper,sugar",french
Spaetzle (noodles),"butter,eggs,nutmeg,salt,unbleached flour,water",french
Cast Iron Vegetable Tian,"black pepper,butternut squash,clarified butter,dry red wine,garlic cloves,gruyere cheese,herbes de provence,lemon juice,olive oil,panko breadcrumbs,red onions,red pepper flakes,russet potatoes,sea salt,tomatoes,zucchini",french
Farmers Market Ratatouille,"crushed red pepper flakes,eggplants,fresh basil,fresh oregano,fresh tomatoes,garlic cloves,green bell peppers,olive oil,onions,pepper,salt,tomato paste,whole tomatoes,yellow squash,zucchini",french
Classic French Pot Au Feu - Crock Pot or Le Creuset,"all-purpose flour,bacon,bay leaves,beef,beef stock,bouquet garni,carrots,fresh parsley,fresh thyme,garlic cloves,lardons,leeks,onions,potatoes,turnips",french
French Herbed Omelette,"canola oil,chives,eggs,fresh ground black pepper,parsley,salt,tarragon,unsalted butter",french
Basic Omelette,"butter,eggs,oil,salt and pepper",french
Instant Pot Duck Confit,"allspice berries,bay leaves,cloves,duck legs,fresh coarse ground black pepper,garlic cloves,kosher salt,star anise,thyme",french
Paul Bocuse's Creme Brulee,"egg yolks,granulated sugar,heavy cream,light brown sugar,vanilla beans",french
Brioche,"active dry yeast,eggs,kosher salt,sugar,unbleached all-purpose flour,unsalted butter,whole milk",french
Heirloom Tomato Tart,"Dijon mustard,egg whites,fresh thyme,frozen puff pastry,sea salt,shallots,tomatoes,whole grain mustard",french
Bouillabaisse,"basil,carrots,chicken broth,clam juice,clams,crabmeat,dry sherry,fennel bulbs,fish stock,flounder,fresh parsley,garlic cloves,garlic-infused olive oil,grouper,lobsters,mussels,olive oil,onions,parsley,pepper,red pepper flakes,red snapper,saffron,salt,scallops,sea bass,shallots,shrimp,squid,thyme,tomato paste,tomatoes,trout",french
Tartiflette -- the Indulgent Version,"bacon,butter,emmenthaler cheese,heavy cream,jarlsberg cheese,onions,potatoes,salt and pepper,swiss cheese",french
Pissaladiere (Provencal Onion Tart),"anchovy fillets,balsamic vinegar,bread flour,brown sugar,fennel seeds,fresh parsley leaves,fresh thyme leaves,garlic cloves,ground black pepper,instant yeast,marjoram leaves,nicoise olives,olive oil,table salt,water,yellow onions",french
Roasted Lemon Chicken,"butter,fresh parsley,garlic,lemons,olive oil,salt and pepper,whole chickens",french
Mousse au Chocolat (Chocolate mousse),"bittersweet chocolate,egg yolks,eggs,espresso,Grand Marnier,heavy cream,sugar,unsalted butter,very strong coffee,water",french
Stuffed Chicken Cordon Bleu,"boneless skinless chicken breasts,deli ham,eggs,flour,fresh ground black pepper,fresh thyme leaves,gruyere,kosher salt,olive oil,panko breadcrumbs,swiss cheese,water",french
Quiche Lorraine,"bacon,cayenne pepper,eggs,onions,pastry dough,salt,sugar,swiss cheese,whipping cream",french
Salad Nicoise,"balsamic vinegar,extra virgin olive oil,garlic cloves,hard-boiled eggs,lettuce,red potatoes,string beans,tomatoes,tuna in water",french
Macarons,"almond flour,egg whites,ganache,jam,powdered sugar,sugar",french
Lemon Madeleines,"all-purpose flour,baking powder,butter,confectioners' sugar,eggs,lemon zest,lemons, juice and zest of,sugar,vanilla extract",french
"Auberge Roast Chicken Rillettes With Armagnac, Thyme and Garlic","armagnac,black peppercorns,dry white wine,duck fat,fresh thyme leaves,garlic cloves,goose fat,ground mace,quatre-epices,salt,seasoning,shallots,whole chickens",french
Tarte Flambée (Elsässer Flammkuchen),"bacon,butter,creme fraiche,flour,oil,onions,salt,salt and pepper,water",french
Gougeres French Cheese Puffs,"all-purpose flour,butter,eggs,fresh ground black pepper,gruyere cheese,nutmeg,salt,water",french
Gigot a La Cuillère - French Slow Cooked Spoon Lamb,"armagnac,carrots,fresh thyme,garlic cloves,leg of lamb,madeira wine,onions,salt and pepper,stock,white wine",french
French Apple Tart,"all-purpose flour,apples,apricot preserves,cinnamon,cognac,confectioners' sugar,eggs,granny smith apples,granulated sugar,lemon zest,salt,unsalted butter",french
Susan's  Duck Breast With Fig and Port Sauce,"beef broth,beef stock,butter,chicken broth,chicken stock,duck breast halves,fig preserves,flour,fresh thyme,garlic powder,olive oil,paprika,port wine,salt & pepper,shallots",french
Jambon Persille,"bay leaves,carrots,celery ribs,dry white wine,flat leaf parsley,garlic,gelatin,onions,pork trotters,salt & freshly ground black pepper,smoked ham hocks,white wine vinegar",french
Rabbit in Mustard Sauce,"bacon,chicken stock,Dijon mustard,flour,fresh thyme leaves,mustard,olive oil,onions,pepper,rabbit,salt,single cream,thyme,white wine",french
Twelfth Night Cake or King Cake(Galette Des Rois),"blanched almonds,butter,cornstarch,eggs,frozen puff pastry,granulated sugar,lemons,milk,rum,vanilla",french
Melted Cheese With Potatoes and Pickles (Raclette),"pickled onions,raclette cheese,sour gherkins,tiny new potatoes",french
Carbonade Flamande - Flemish Beef  and Beer Stew/Casserole,"bacon,beef,beef stock,bouquet garni,brown ale,brown sugar,butter,Dijon mustard,French bread,garlic cloves,olive oil,onions,pepper,red wine vinegar,salt",french
Raisin Breakfast Bread (Cramique),"active dry yeast,all-purpose flour,dark raisins,egg yolks,milk,salt,sugar,unsalted butter",french
French Potato Gratin,"black pepper,garlic,milk,nutmeg,potatoes,salt,whipping cream",french
Lentils Du Puy and Bacon Salad,"bacon,carrots,celery,Dijon mustard,fresh flat-leaf parsley,fresh thyme,lentils,olive oil,onions,red onions,red wine vinegar,sherry wine vinegar,water",french
Escargot a La Bourguignonne,"brandy,butter,canned French snails,garlic cloves,parsley,shallots,snail shells",french
Cream Puffs or Eclairs With Vanilla Pastry Cream,"butter,egg yolks,eggs,flour,heavy cream,milk,powdered sugar,salt,semi-sweet chocolate baking squares,sugar,vanilla extract,water",french
Apple Tarte Tatin,"frozen puff pastry,ginger,Granny Smith apples,lemon juice,sugar,unsalted butter,whipped cream",french
Poulet Basquaise,"chicken stock,chili peppers,cornmeal,extra virgin olive oil,fresh ginger,fresh thyme,garlic cloves,heavy cream,kosher salt,lemons,manchego cheese,pickling spices,red bell peppers,roma tomatoes,salt and pepper,sugar,tasso,whole chickens,yellow bell peppers",french
Baba au Rhum,"butter,candied fruit,dark rum,dry yeast,eggs,flour,milk,sugar,water,whipped cream",french
Tournedos Au Poivre Et Champignons(Filet Au Poivre W/Mushrooms),"butter,cognac,filet mignon,mushrooms,parsley,peppercorns,salt,whipping cream",french
Lemon Trout Almondine,"butter,flour,fresh lemon juice,olive oil,sliced almonds,trout fillets",french
The French Picnic Baguette - Pan Bagnat,"baguette,black pepper,cos lettuce,extra virgin olive oil,garlic cloves,hard-boiled eggs,pitted black olives,red onions,salt,salted anchovies,tomatoes,tuna,white wine vinegar",french
French Soupe Au Pistou,"chicken stock,chickpeas,extra virgin olive oil,fresh basil leaves,fresh garlic,green beans,noodles,parmesan cheese,potatoes,tomatoes,vegetable stock,vermicelli,white beans,yellow onions",french
Petit Sale Aux Lentilles Vertes,"bouquet garni,carrots,celery ribs,garlic cloves,green lentils,ground black pepper,olive oil,onions,salt,smoked ham hock,smoked sausage,vegetable stock",french
Paupiettes De Porc - French Stuffed Pork Fillet Parcels,"bay leaves,dried herbs,dried orange peel,fresh mushrooms,mixed herbs,olive oil,onions,orange zest,parsley,pepper,plain flour,pork escalopes,pork sausage,pork steaks,sage leaves,salt,shallots,string,sun-dried tomato paste,sweet white wine,thyme",french
Choucroute Garnie,"black pudding,dry white wine,fresh sauerkraut,garlic cloves,garlic sausage,juniper berries,lard,laurel leaves,liverwurst,onions,pork belly,pork knuckle,pork necks,potatoes",french
Boeuf Bourguignon a La Julia Child,"bacon,bay leaves,beef stock,carrots,flour,garlic cloves,lean stewing beef,mushrooms,olive oil,onions,parsley,pepper,red wine,salt,salt & fresh ground pepper,thyme,tomato paste,unsalted butter,white pearl onions",french
Authentic French Onion Soup Courtesy of Julia Child,"beef stock,butter,cognac,cooking oil,flour,French bread,olive oil,parmesan cheese,salt,salt and pepper,sugar,swiss cheese,wine,yellow onions",french
Boeuf Bourguignon,"basil,bay leaves,beef stock,black pepper,blade steaks,butter,dry red wine,flour,fresh mushrooms,fresh parsley,garlic cloves,olive oil,salt,shallots,white pearl onions",french
French Style Boeuf Bourguignon Cottage-Shepherd's Pie,"beef,black pepper,butter,creme fraiche,French Dijon mustard,lamb,parsley,potatoes,salt,sharp cheddar cheese,sour cream,tomatoes",french
Amy's Favorite French Onion Soup,"balsamic vinegar,chicken stock,croutons,extra virgin olive oil,fresh sage,garlic,gruyere cheese,kosher salt,yellow onions",french
"French Onion Soup, Emeril Style!  Delish!","beef stock,broth,cognac,egg yolks,French bread,fresh ground black pepper,fresh thyme,gruyere cheese,parsley,port wine,salt,unsalted butter,yellow onions",french
Tomato Garlic Onion Soup,"beef broth,French baguettes,garlic cloves,olive oil,onions,swiss cheese,tomato juice,tomatoes",french
Guiness French Onion Soup,"apple cider,beef broth,butter,chicken broth,country bread,fresh thyme sprigs,ground black pepper,gruyere cheese,Guinness stout,kosher salt,red onions,sweet onions",french
Vegetarian French Onion Soup,"all-purpose flour,bread,butter,dry red wine,French bread,gruyere cheese,olive oil,onions,provolone cheese,sugar,Swanson vegetable broth,swiss cheese,water",french
"Ajiaco Bogotano (Chicken and Potato Soup, Bogota Style)","capers,cayenne pepper,chicken stock,chicken thighs,cilantro,ears of corn,garlic cloves,heavy cream,olive oil,onions,potatoes,salt & freshly ground black pepper,water,yucca root,yukon gold potatoes",latin-american
Pernil (Puerto Rican Pork Shoulder),"black pepper,dried oregano,minced garlic cloves,olive oil,pork shoulder,salt,white vinegar",latin-american
Authentic Salvadorean Pupusas,"chilies,corn oil,green bell peppers,masa corn flour,mozzarella cheese,onions,red beans,salt,warm water,water",latin-american
Gallo Pinto (Costa Rican Rice and Beans),"black beans,canola oil,cooked white rice,fresh cilantro,garlic cloves,green onions,ground coriander,ground cumin,ground ginger,onions,salt & freshly ground black pepper,vegetarian worcestershire sauce",latin-american
El Mejor Jamon del Pais Peruano (Peruvian Country Ham),"achiote oil,black pepper,cumin,garlic paste,ground oregano,lard,msg,pork loin,salt,seeds,sugar,turmeric,water",latin-american
Peruvian Mixed Cebiche (Ceviche Mixto),"cilantro,cooked shrimp,cooked sweet potatoes,fish fillets,ice cubes,lime juice,red aji limo chiles,red onions,sea salt,white corn kernels,yellow aji limo chiles",latin-american
Tres Leches (Three-Milk Cake),"all-purpose flour,baking powder,eggs,evaporated milk,Kahlua,milk,strawberries,sugar,sweetened condensed milk,vanilla,whipped cream",latin-american
Mole (Mo-lay) Sauce,"all-purpose flour,chicken broth,chili powder,dark chocolate,dried oregano,garlic,ground cinnamon,ground cumin,olive oil,onions",latin-american
Conchas (Mexican Sweet-Topped Buns),"active dry yeast,all-purpose flour,butter,eggs,granulated sugar,ground cinnamon,margarine,milk,orange zest,salt,vanilla extract,warm water",latin-american
Cholado,"bananas,fruit,ice,mangoes,papayas,passion fruit,strawberries,syrup",latin-american
Easy Chaja Cake,"baking powder,dulce de leche,eggs,flour,granulated sugar,heavy syrup,meringue cookies,peaches,salt,unsalted butter,vanilla essence,vanilla extract,water,whipped cream",latin-american
Alfajores (An Argentinean Dulce De Leche Sandwich Cookie),"baking powder,butter,cornstarch,dulce de leche,egg yolks,eggs,flour,lemon rind,salt,sugar,vanilla",latin-american
Brazilian  Brigadeiro,"chocolate sprinkles,cocoa powder,margarine,sweetened condensed milk",latin-american
Rice With Pigeon Peas - Arroz Con Gandules,",ham,olive oil,pigeon peas,rice,sofrito sauce,water",latin-american
Cuban Ropa Vieja,"beef broth,beef flank steak,cumin,fresh cilantro,garlic cloves,green bell peppers,olive oil,onions,tomato paste,tomato sauce,vegetable oil,white vinegar",latin-american
Arroz Imperial Con Pollo - Imperial Rice With Chicken,"bacon,chicken breasts,chicken broth,chopped pimiento,frozen green peas,garlic cloves,green bell peppers,green onions,Hellmann's mayonnaise,limes, juice of,long grain rice,mild paprika,monterey jack cheese,olive oil,onions,oregano,parmesan cheese,pimento stuffed olives,salt and pepper,seasoning,sherry wine,tomato sauce,white cheese,whole bay leaf",latin-american
Chimichurri Burger (Dominican Hamburger),"80% lean ground beef,avocados,cabbage,coleslaw mix,garlic cloves,green peppers,ketchup,mayonnaise,mustard,olive oil,oregano,Portuguese rolls,red onions,sazon goya con culantro y achiote,tomatoes",latin-american
Dominican Mangu,"bacon,bacon fat,butter,green plantains,red onions,salt,water",latin-american
Hilachas (Guatemalan Shredded Beef in Tomato-Tomatillo Sauce),"beef flank steak,breadcrumbs,carrots,cilantro,guajillo chilies,oil,onions,potatoes,salt and pepper,skirt steaks,tomatillos,tomatoes,water",latin-american
Guatemalan Pan De Banano (Banana Bread),"baking powder,bananas,butter,cinnamon,eggs,flour,lemon juice,salt,sugar",latin-american
Honduran Coconut Seafood Soup (Sopa Catratcha De Mariscos Con Un,"achiote powder,avocados,chayotes,chicken bouillon cubes,cilantro,coconut milk,conch,crab,fish,green peppers,limes,margarine,onions,parsley,plantains,rice,salt,shrimp,shrimp bouillon cubes,spices,sugar,tomatoes,tortillas,water,Worcestershire sauce,yucca root",latin-american
Spaghetti Con Pollo (Central American Chicken and Spaghetti),"butter,chicken breasts,cumin powder,green bell peppers,salt,sour cream,spaghetti,tomato sauce,water,white onions",latin-american
Maria Luisa (Salvadoran Layer Cake),"baking powder,butter,eggs,flour,orange juice,orange marmalade,orange zest,powdered sugar,sugar,vanilla",latin-american
Nacatamales (ANY Banana Leaf Wrapped Central American Tamales),"aluminum foil,banana leaves,broth,chicken bouillon,chicken stock,chipotle salsa,cilantro leaves,cooking oil,cumin,garbanzo beans,green peas,lard,long-grain white rice,olives,paprika,pepper,pork butt,salt,shortening,sour orange juice,tamales,white potatoes",latin-american
Panamanian Sancocho,"chicken stock,cilantro,dried oregano,garlic cloves,olive oil,onions,roasting chickens,salt,salt and pepper,yucca root",latin-american
Pan de Jamon (ham bread),"butter,eggs,flour,ham,milk,olives,raisins,salt,smoked bacon,sugar,water,yeast",latin-american
Tequenos,"eggs,flour,salt,sugar,vegetable oil,white cheese",latin-american
Ecuadorean Potato Cakes With Peanut Sauce (Llapingachos),"annatto oil,crunchy peanut butter,garlic cloves,ground cumin,milk,muenster cheese,scallions,tomatoes,yukon gold potatoes",latin-american
Sancocho Quiteno - Ecuadorian Beef and Vegetable Soup,"beef chuck,carrots,cilantro,ears of corn,garlic cloves,ground cumin,parsley,peas,pepper,plantains,rice,salt,water,white onions,yucca root",latin-american
Chilean Pastel De Choclo,"bay leaves,black pepper,boneless skinless chicken breasts,carrots,chicken broth,cooking spray,fresh basil,fresh corn,fresh parsley,garlic cloves,onions,red bell peppers,sugar,whole milk",latin-american
Salsa De Cilantro - Pebre,"fresh cilantro,fresh lime juice,garlic cloves,hot sauce,onions,pepper,salt,tomatoes,vegetable oil,white vinegar",latin-american
Chilean Cilantro Salsa (Pebre),"fresh cilantro leaves,fresh ground pepper,garlic cloves,green onions,jalapenos,olive oil,red wine vinegar,salt,serrano chilies,sherry wine vinegar,water",latin-american
Silpancho (Traditional Bolivian Meal),"adobo seasoning,beef,breadcrumbs,eggs,fresh cilantro,jalapenos,plum tomatoes,red onions,red peppers,salt,vegetable oil,white rice,yukon gold potatoes",latin-american
Cocadas (Bolivian Coconut Candies),"almond essence,butter,condensed milk,eggs,shredded coconut",latin-american
Chipa Guazú- Corn Pancake from Paraguay,"corn cobs,corn oil,cream cheese,eggs,frozen corn,milk,onions,salt and pepper",latin-american
Paraguayan Cornbread (Sopa Paraguaya),"butter,ears of corn,egg whites,egg yolks,flour,frozen corn,milk,muenster cheese,olive oil,onions,parmesan cheese,salt,yellow cornmeal",latin-american
Pollo En Escabeche - Uruguayan Marinated Chicken,"apple cider vinegar,carrots,garlic cloves,marjoram,olive oil,onions,salt,thyme,whole black peppercorns,whole chickens",latin-american
"Matambre - Argentine Rolled, Stuffed Flank Steak","beef stock,carrots,coarse salt,cold water,dried thyme,flank steaks,fresh parsley,fresh spinach,garlic,ground black pepper,hard-boiled eggs,onions,red wine vinegar",latin-american
"Bahian Brasilian Fish Stew, Decorated With Boiled Eggs (Moqueca","bell peppers,coconut milk,diced tomatoes,fish sauce,fresh cilantro,garlic cloves,ground black pepper,ground cumin,hard-boiled eggs,limes, juice of,olive oil,onions,palm oil,paprika,salt,serrano chilies,tilapia fillets,tomato paste",latin-american
Simple Peruvian Ceviche,"black pepper,fresh cilantro,garlic cloves,habanero peppers,limes,red onions,salt,tilapia fillets,white fish fillets",latin-american
Fruit Espuma (Latin American Gelatin Foam),"evaporated milk,raspberries,raspberry Jell-O gelatin,water",latin-american
Ceviche Corvina,"chilies,corn on the cob,flounder fillets,key limes, juice of,lettuce leaves,red onions,salt,sea bass,sweet potatoes",latin-american
Peruvian Ceviche,"chilies,cilantro,fish fillets,lemon juice,lime juice,onions,orange juice,salt",latin-american
Kinilaw Na Tanigue (Filipino Version of Ceviche),"diced tomatoes,garlic,gingerroot,green bell peppers,jalapeno peppers,lime juice,onions,red bell peppers,salt and pepper,sea bass,spring onions,white vinegar",latin-american
Leche Asada,"eggs,milk,sugar",latin-american
Hot Red Sauce (Salsa Ranchero),"canned whole tomatoes,garlic,ground coriander,hot red chili peppers,onions,parsley,salt,sugar,wine vinegar",latin-american
Peruvian Ceviche De Pescado,"chili peppers,cilantro,corn,crab,fish,garlic cloves,jalapenos,lemon juice,lettuce leaves,lime juice,parsley,purple onions,salt,shrimp,sweet potatoes,yucca root",latin-american
Tofu Ceviche,"cilantro,cucumbers,extra firm tofu,garlic,jalapeno peppers,lemons,limes,mangoes,pickled ginger,pineapple,red onions,rice wine vinegar,scallions,sugar,tomatoes",latin-american
Steamed Pork & Scallion Dumplings,"chili oil,eggs,garlic,garlic cloves,ginger,ground pork,hoisin sauce,low sodium soy sauce,rice vinegar,scallions,sesame oil,soy sauce,sugar,wonton wrappers",chinese
Sticky Chinese Sausage Fried Rice,"Chinese sausage,cooked sushi rice,eggs,frozen peas and carrots,garlic cloves,light brown sugar,low sodium soy sauce,minced ginger,oyster sauce,pepper,rice vinegar,salt,scallions,sesame oil,vegetable oil",chinese
Sticky Hoisin Spareribs,"Chinese five spice powder,dark brown sugar,food coloring,garlic cloves,ginger,hoisin sauce,ketchup,limes,pork spareribs,rice vinegar,scallions,sesame seeds,soy sauce,sriracha sauce",chinese
Chive & Scallions Pancakes,"chives,flour,garlic powder,ground ginger,low sodium soy sauce,rice wine vinegar,salt,scallions,sesame oil,sugar,unsalted butter,vegetable oil,water",chinese
Chinese Eggplant in Garlic Sauce,"chili oil,Chinese eggplants,Chinese five spice powder,cornstarch,garlic cloves,garlic powder,hoisin sauce,light brown sugar,low sodium soy sauce,pepper,red pepper flakes,rice vinegar,salt,scallions,vegetable oil,water",chinese
